"Exam Board","Exam Type","Subject","Module","Topic","Sub Topic"
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Gender","Social learning theory as applied to gender development. The influence of culture and media on gender roles."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Gender","Psychodynamic explanation of gender development, Freud’s psychoanalytic theory, Oedipus complex; Electra complex; identification."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Gender","Cognitive explanations of gender development, including Kohlberg’s theory of gender constancy, gender schema theory."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Gender","Atypical sex chromosome patterns: Klinefelter’s syndrome and Turner’s syndrome."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Gender","The role of chromosomes and hormones (testosterone, oestrogen and oxytocin) in sex and gender."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Gender","Sex and gender. Sex-role stereotypes. Androgyny and measuring androgyny including the Bem Sex Role Inventory."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Relationships","Parasocial relationships: levels of parasocial relationships: entertainment-social, intense-personal, borderline pathological; the absorption addiction model; the attachment theory explanation."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Relationships","Virtual relationships in social media: self-disclosure in virtual relationships; the absence of gating in virtual relationships."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Relationships","Duck’s phase model of relationship breakdown: intra-psychic, dyadic, social and grave dressing phases."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Relationships","Theories of romantic relationships: social exchange theory, equity theory and Rusbult’s investment model of commitment, satisfaction, comparison with alternatives and investment size."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Relationships","Factors affecting attraction in romantic relationships: self-disclosure; physical attractiveness, including the matching hypothesis; filter theory, including social demography, similarity in attitudes and complementarity."
